timestamp,nombre,genero,rango_edad,q1_raw,q2_raw,q3_raw,q4_raw,q5_raw,q6_raw,q7_raw,q8_raw,q9_raw,q10_raw,q11_raw,q12_raw,q13_raw,q14_raw,q15_raw,q16_raw,q17_raw,q18_raw,q19_raw,q20_raw,q21_raw,q22_raw,q23_raw,q24_raw,energia_score,percepcion_score,decision_score,estilo_score,tipo_resultante
2026-07-16T19:59:17.161Z,Leonel Torres,Masculino,18-22,1,4,4,5,3,4,2,4,4,5,2,4,4,4,2,4,2,4,4,4,5,2,4,4,-5,-5,-4,3,INFJ
2026-07-18T00:29:20.950Z,Orion,Masculino,23-27,2,5,3,5,3,5,5,2,5,2,5,5,5,5,2,1,1,5,1,5,1,1,2,5,-7,6,-3,-7,ISFP
2026-07-18T01:28:40.939Z,Fernando Crespo,Masculino,18-22,2,5,1,5,2,5,2,3,5,2,5,4,4,5,3,4,2,3,5,4,2,1,4,2,-10,3,-3,4,ISFJ
2026-07-18T00:30:22.619Z,Santiago Caballero Campo,Otro,18-22,2,4,2,5,3,5,3,3,3,5,3,4,3,3,3,4,2,4,3,4,4,3,4,4,-7,-3,-3,0,INFJ
2026-07-18T00:31:10.723Z,Israel,Masculino,18-22,3,5,5,5,1,5,4,5,5,5,1,4,5,1,5,1,5,1,5,1,5,4,5,3,-6,-4,12,7,INTJ
2026-07-18T00:31:15.831Z,Cristian Osvaldo,Masculino,18-22,2,5,2,5,1,5,3,3,4,4,4,4,2,4,3,4,4,4,2,4,4,4,3,5,-10,0,-3,-4,ISFP
2026-07-18T00:35:04.989Z,Jazmín Méndez,Femenino,18-22,3,4,1,2,5,5,3,4,4,4,2,4,2,2,4,3,1,2,4,2,3,3,5,1,-2,-3,0,6,INTJ
2026-07-18T00:51:48.826Z,Fanny,Femenino,18-22,3,5,2,5,2,4,3,3,4,2,4,2,3,4,3,3,4,2,3,2,4,2,4,2,-7,4,1,5,ISTJ
2026-07-18T00:54:48.855Z,Iris Vera Jiménez,Femenino,18-22,4,5,4,5,3,5,2,4,5,4,1,4,1,4,2,4,2,5,2,3,5,5,1,5,-4,-4,-8,-5,INFP
2026-07-18T00:58:17.020Z,Jazmín Méndez Guerrero,Femenino,18-22,3,3,5,3,5,3,4,4,4,3,3,3,3,2,5,2,3,4,4,2,4,4,5,1,4,1,3,6,ESTJ
2026-07-18T00:59:12.944Z,Soledad Robles Reyna,Masculino,18-22,4,4,4,4,4,5,5,1,5,2,5,4,2,5,5,4,5,5,5,2,5,4,5,1,-1,8,-2,8,ISFJ
2026-07-18T01:27:43.226Z,Iván Daniel Keudell Ortiz,Masculino,18-22,1,5,1,5,1,5,2,4,5,4,2,5,4,5,2,5,2,3,5,5,5,1,5,5,-12,-4,-5,4,INFJ
2026-07-19T01:15:53.029Z,Juan Uriel Martín González Avalos,Masculino,18-22,2,3,4,1,2,2,2,2,3,3,2,3,2,2,4,3,3,4,2,4,2,1,3,5,2,-1,0,-3,ENTP
